Date,Open,High,Low,Close,Volume,Adj Close
2014-10-29,164.33,164.62,162.76,163.46,4739300,163.46
2014-10-28,162.00,163.60,161.80,163.60,7895300,163.60
2014-10-27,162.00,162.91,161.81,161.87,4989100,161.87
2014-10-24,162.08,162.44,161.45,162.08,6652100,162.08
2014-10-23,162.12,162.83,161.54,162.18,7599400,162.18
2014-10-22,162.41,165.41,161.10,161.79,11084800,161.79
2014-10-21,166.40,166.68,161.68,163.23,20949800,163.23
2014-10-20,166.85,170.33,166.69,169.10,23395400,169.10
2014-10-17,181.24,182.84,180.22,182.05,4350200,182.05
2014-10-16,179.80,181.48,178.69,179.84,5578600,179.84
2014-10-15,182.46,183.79,178.75,181.75,6895800,181.75
2014-10-14,184.89,185.72,183.59,183.80,3924700,183.80
2014-10-13,185.49,186.65,183.42,183.52,3596700,183.52
2014-10-10,185.86,187.74,185.10,185.93,5090200,185.93
2014-10-09,189.12,189.50,186.09,186.42,2625400,186.42
2014-10-08,185.97,189.60,185.61,189.36,2984800,189.36
2014-10-07,187.77,188.12,185.54,185.71,2991300,185.71
2014-10-06,189.69,190.89,188.71,189.04,2099500,189.04
2014-10-03,188.11,189.37,187.56,188.67,3071500,188.67
2014-10-02,187.66,187.78,186.24,186.91,2283100,186.91
2014-10-01,189.91,190.40,186.79,187.17,3705400,187.17
2014-09-30,189.64,190.85,189.15,189.83,2870300,189.83
2014-09-29,188.51,189.96,188.12,189.64,2336300,189.64
2014-09-26,188.93,190.33,188.61,190.06,2493900,190.06
2014-09-25,192.05,192.50,188.97,189.01,4151400,189.01
2014-09-24,191.00,192.45,189.88,192.31,3082600,192.31
2014-09-23,192.75,193.07,191.52,191.62,3301800,191.62
2014-09-22,193.72,194.14,192.63,193.11,3288500,193.11
2014-09-19,194.54,195.00,193.19,194.00,8852000,194.00
2014-09-18,192.79,194.13,192.71,193.75,2963300,193.75
2014-09-17,193.22,193.64,192.30,192.80,3210800,192.80
2014-09-16,191.25,193.57,190.82,192.96,2561500,192.96
2014-09-15,191.42,192.49,190.58,191.81,2456400,191.81
2014-09-12,191.47,191.60,190.57,191.28,2901000,191.28
2014-09-11,191.08,192.78,190.12,191.72,2298500,191.72
2014-09-10,190.12,192.15,190.10,191.54,2764000,191.54
2014-09-09,190.34,190.74,189.78,189.99,2390400,189.99
2014-09-08,190.75,191.20,189.51,190.14,2524200,190.14
2014-09-05,190.53,191.75,190.09,191.20,2260200,191.20
2014-09-04,191.69,192.69,190.06,190.68,2865000,190.68
2014-09-03,192.39,192.95,191.86,191.95,1822800,191.95
2014-09-02,192.68,192.97,190.93,191.56,2679700,191.56
2014-08-29,192.28,192.75,191.14,192.30,2909400,192.30
2014-08-28,191.47,192.30,190.66,192.00,1503600,192.00
2014-08-27,193.03,194.13,191.56,192.25,2190200,192.25
2014-08-26,191.02,193.53,191.02,192.99,3160900,192.99
2014-08-25,191.39,191.81,190.71,191.16,1723600,191.16
2014-08-22,190.77,191.88,190.29,190.41,1940300,190.41
2014-08-21,190.90,192.07,190.50,191.23,2496500,191.23
2014-08-20,189.86,190.39,189.25,190.10,2177600,190.10
2014-08-19,190.04,190.25,189.36,190.07,2040100,190.07
2014-08-18,188.10,189.81,187.76,189.36,2420300,189.36
2014-08-15,187.85,188.88,186.79,187.38,2814800,187.38
2014-08-14,187.57,188.17,186.93,187.88,1929500,187.88
2014-08-13,188.00,188.48,187.37,187.95,1797000,187.95
2014-08-12,187.45,188.69,186.81,187.34,1858600,187.34
2014-08-11,187.81,188.36,186.28,187.47,2527200,187.47
2014-08-08,184.40,186.67,183.58,186.63,2781500,186.63
2014-08-07,186.64,186.68,183.58,184.30,2708600,184.30
2014-08-06,185.36,186.88,184.44,185.97,3847000,185.97
2014-08-05,188.75,189.20,186.44,187.10,3307900,186.00
2014-08-04,189.35,189.95,188.60,189.64,2125900,188.53
2014-08-01,190.50,191.50,188.86,189.15,5181100,188.04
2014-07-31,192.84,194.29,191.54,191.67,4207500,190.54
2014-07-30,195.20,195.99,192.90,194.00,3943800,192.86
2014-07-29,195.30,195.89,194.54,194.57,3264100,193.43
2014-07-28,194.30,196.40,193.65,195.78,3242400,194.63
2014-07-25,195.30,195.90,193.79,194.40,3376400,193.26
2014-07-24,193.95,195.62,193.75,195.24,3612700,194.09
2014-07-23,194.11,194.90,193.57,193.63,3584200,192.49
2014-07-22,191.59,194.72,191.56,194.09,4853000,192.95
2014-07-21,191.30,191.70,189.25,190.85,4154400,189.73
2014-07-18,191.96,193.44,190.00,192.50,8166400,191.37
2014-07-17,192.36,195.95,192.00,192.49,8872300,191.36
2014-07-16,192.24,193.36,190.76,192.36,7812600,191.23
2014-07-15,189.54,190.08,188.21,188.49,4864700,187.38
2014-07-14,188.55,190.44,188.53,189.86,4501100,188.74
2014-07-11,187.73,188.35,186.71,188.00,2402500,186.89
2014-07-10,186.44,188.05,186.21,187.70,3177800,186.60
2014-07-09,187.68,188.90,186.89,188.42,3309600,187.31
2014-07-08,187.65,188.08,186.37,187.22,3135100,186.12
2014-07-07,187.61,188.27,187.44,188.04,2958700,186.93
2014-07-03,188.39,188.81,187.35,188.53,2422400,187.42
2014-07-02,186.34,188.99,186.17,188.39,5093000,187.28
2014-07-01,181.70,187.27,181.70,186.35,6643100,185.25
